Symbol,Name,description
MMM,3M Company,"3M Company operates as a diversified technology company worldwide. The company's Industrial segment offers tapes; coated, non-woven, and bonded abrasives; adhesives; ceramics; sealants; specialty materials; purification products; closure systems for personal hygiene products; acoustic systems products; automotive components; and abrasion-resistant films, and paint finishing and detailing products. Its Safety and Graphics Business segment provides personal protection products, transportation safety products, commercial graphics systems, commercial cleaning and protection products, floor matting, roofing granules for asphalt shingles, and fall protection products. The company's Health Care segment offers medical and surgical supplies, skin health and infection prevention products, inhalation and transdermal drug delivery systems, dental and orthodontic products, health information systems, and food safety products. Its Electronics and Energy segment provides optical films; packaging and interconnection devices; insulating and splicing solutions; touch screens and touch monitors; renewable energy component solutions; and infrastructure protection products. The company's Consumer segment offers sponges, scouring pads, high-performance cloths, repositionable notes, indexing systems, home improvement and care products, and protective materials; and consumer and office tapes and adhesives. It serves automotive, electronics and automotive electrification, appliance, paper and printing, packaging, food and beverage, construction, medical clinics and hospitals, pharmaceuticals, dental and orthodontic practitioners, health information systems, food manufacturing and testing, consumer and office retail, office business to business, home improvement, drug and pharmacy retail, and other markets directly, as well as through wholesalers, retailers, jobbers, distributors, and dealers. The company was founded in 1902 and is headquartered in St. Paul, Minnesota."
AOS,A.O. Smith Corp,"A. O. Smith Corporation manufactures and markets residential and commercial gas and electric water heaters, boilers, and water treatment products in North America, China, Europe, and India. The company offers water heaters for residences, restaurants, hotels and motels, office buildings, laundries, car washes, and small businesses; residential and commercial boilers for use in space heating applications for hospitals, schools, hotels, and other large commercial buildings; and water treatment products, including on-the-go filtration bottles, point-of-use carbon and reverse osmosis products, point-of-entry water softeners, and whole-home water filtrations products for residences, restaurants, hotels, and offices. It also provides food and beverage filtration products; expansion tanks, commercial solar water heating systems, swimming pool and spa heaters, and related products and parts; and heat pump and combi boilers, solar units, and air purification products. The company distributes its products through independent wholesale plumbing distributors, as well as through retail channels consisting of hardware and home center chains, and manufacturer representative firms. A. O. Smith Corporation is headquartered in Milwaukee, Wisconsin."
ABT,Abbott Laboratories,"Abbott Laboratories discovers, develops, manufactures, and sells health care products worldwide. The company's Established Pharmaceutical Products segment offers branded generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency; irritable bowel syndrome or biliary spasm; intrahepatic cholestasis or depressive symptoms; gynecological disorders; hormone replacement therapy; dyslipidemia; hypertension; hypothyroidism; Ménière's disease and vestibular vertigo; pain, fever, and inflammation; migraines; and anti-infective clarithromycin, as well as provides influenza vaccine and products that regulate physiological rhythm of the colon. Its Diagnostic Products segment offers core laboratory systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics systems that automates the extraction, purification, and preparation of DNA and RNA from patient samples, as well as detects and measures infectious agents; cartridges for blood analysis; benchtop systems and rapid tests in the areas of infectious diseases; molecular point-of-care test systems for influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test systems, as well as remote patient monitoring and consumer self-test systems; and informatics and automation solutions for use in laboratories. The company's Nutritional Products segment provides pediatric and adult nutritional products. Its Cardiovascular and Neuromodulation Products segment offers rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases, as well as neuromodulation devices for the management of chronic pain and movement disorders. The company also provides blood and flash glucose monitoring systems, including test strips, sensors, data management decision software, and accessories for people with diabetes. The company was founded in 1888 and is headquartered in Abbott Park, Illinois."
ABBV,AbbVie Inc.,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceutical products worldwide. The company offers HUMIRA, a therapy administered as an injection for autoimmune diseases; IMBRUVICA, an oral therapy for treating chronic lymphocytic leukemia; and VIEKIRA PAK, an interferon-free therapy to treat adults with genotype 1 chronic hepatitis C. It also provides Kaletra, an anti- human immunodeficiency virus (HIV)-1 medicine used with other anti-HIV-1 medications to maintain viral suppression in HIV-1 patients; Norvir, a protease inhibitor indicated in combination with other antiretroviral agents to treat HIV-1; and Synagis to prevent RSV infection at-risk infants. In addition, the company offers AndroGel, a testosterone replacement therapy for males diagnosed with symptomatic low testosterone; Creon, a pancreatic enzyme therapy for exocrine pancreatic insufficiency; Synthroid for hypothyroidism; and Lupron, a product for the palliative treatment of prostate cancer, endometriosis, and central precocious puberty, as well as for the treatment of patients with anemia. Further, it provides Duopa and Duodopa, a levodopa-carbidopa intestinal gel to treat Parkinson's disease; Sevoflurane, an anesthesia product for human use; and ZINBRYTA, a treatment for relapsing forms of multiple sclerosis. It serves wholesalers, distributors, government agencies, health care facilities, specialty pharmacies, and independent retailers. AbbVie Inc. has collaborations with Alector, Inc.; C2N Diagnostics; Voyager Therapeutics, Inc.; Janssen Biotech, Inc.; International Myeloma Foundation; Calibr and Scripps Research; The Institute for Research in Immunology and Cancer <U+0096> Commercialization of Research; the Université de Montréal; Tolero Pharmaceuticals, Inc.; Galapagos; Mission Therapeutics Ltd; Bristol-Myers Squibb Company; Voluntis; and Tizona Therapeutics, Inc. The company was incorporated in 2012 and is based in North Chicago, Illinois."
ACN,Accenture plc,"Accenture plc provides consulting, technology, and outsourcing services in Ireland and internationally. Its Communications, Media & Technology segment provides professional services that help clients accelerate and deliver digital transformation, develop industry-specific solutions, and enhance efficiencies and business results for communications, media, high tech, software, and platform companies. The company's Financial Services segment offers services that address profitability pressures, industry consolidation, regulatory changes, and the need to continually adapt to new digital technologies for banking, capital markets, and insurance industries. Its Health & Public Service segment provides research-based insights and offerings, including consulting services and digital solutions to help clients deliver social, economic, and health outcomes for healthcare payers and providers, as well as government departments and agencies, public service organizations, educational institutions, and non-profit organizations. The company's Products segment helps clients enhance their performance in distribution, sales, and marketing; in research and development, and manufacturing; and in business functions, such as finance, human resources, procurement, and supply chain. This segment serves clients in consumer goods, retail, and travel services industries; automotive, freight and logistics, industrial and electrical equipment, consumer durable and heavy equipment, and construction and infrastructure management companies; and pharmaceutical, medical technology, and biotechnology companies. Its Resources segment enables clients in chemicals, energy, forest products, metals and mining, and utilities and related industries to develop and implement strategies, improve operations, manage complex change initiatives, and integrate digital technologies. Accenture plc has a strategic alliance with Quantexa. Accenture plc was founded in 1989 and is based in Dublin, Ireland."
ATVI,Activision Blizzard,"Activision Blizzard, Inc. develops and distributes content and services on video game consoles, personal computers (PC), and mobile devices. The company operates through three segments: Activision Publishing, Inc.; Blizzard Entertainment, Inc.; and King Digital Entertainment. The company develops, publishes, and sells interactive software products and entertainment content for the console and PC platforms through retail and digital channels, including subscription, full-game, and in-game sales, as well as by licensing software to third-party or related-party companies; and offers downloadable content. It also maintains a proprietary online gaming service, Battle.net that facilitates the creation of user generated content, digital distribution, and online social connectivity in its games; and develops and publishes interactive entertainment content and services primarily on mobile platforms, such as Android and iOS, as well as distributes its content and services on the PC platform primarily through Facebook. In addition, the company engages in creating original film and television content; and provides warehousing, logistics, and sales distribution services to third-party publishers of interactive entertainment software, as well as manufacturers of interactive entertainment hardware products. Its products include various genres, including first-person shooter, action/adventure, role-playing, strategy, and others. The company serves retailers and distributors, including mass-market retailers, first party digital storefronts, consumer electronics stores, discount warehouses, and game specialty stores through third-party distribution and licensing arrangements in the United States, Australia, Brazil, Canada, China, France, Germany, Ireland, Italy, Japan, Malta, Mexico, the Netherlands, Romania, Singapore, South Korea, Spain, Sweden, Taiwan, and the United Kingdom. Activision Blizzard, Inc. was incorporated in 1979 and is headquartered in Santa Monica, California."
AYI,Acuity Brands Inc,"Acuity Brands, Inc. provides lighting and building management solutions and services for commercial, institutional, industrial, infrastructure, and residential applications in North America and internationally. The company offers lighting and control products and solutions, including recessed, surface, and suspended lighting; down, decorative, emergency and exit, track, day, special-use, street and roadway, parking garage, underwater, area pedestrian, flood, decorative site, and landscape lighting; occupancy sensors; photo controls; relay panels; architectural dimming panels; and integrated lighting controls systems. It also provides light emitting diode drivers, power supplies, modular wiring, sensors, glass, and inverters, as well as services across applications that primarily relate to monitoring and controlling lighting systems through network technologies and the commissioning of control systems. The company markets its products under the Lithonia Lighting, Holophane, Peerless, Gotham, Mark Architectural Lighting, Winona Lighting, Juno, Indy, Aculux, Healthcare Lighting, Hydrel, American Electric Lighting, Antique Street Lamps, Sunoptics, eldoLED, Distech Controls, nLight, ROAM, Sensor Switch, Power Sentry, IOTA, and Atrius brands. It serves electrical distributors, retail home improvement centers, electric utilities, national accounts, system integrators, utility distributors, value-added resellers, digital retailers, government entities and municipalities, lighting showrooms, developers, original equipment manufacturers, and energy service companies, as well as the new construction, renovation, and maintenance and repair markets. The company sells its products through independent sales agents, electrical distributors, system integrators, and sales representatives, as well as through a network of distribution centers, regional warehouses, and commercial warehouses. Acuity Brands, Inc. was founded in 2001 and is headquartered in Atlanta, Georgia."
ADBE,Adobe Systems Inc,"Adobe Inc. operates as a diversified software company worldwide. Its Digital Media segment provides tools and solutions that enable individuals, small and medium businesses, and enterprises to create, publish, promote, and monetize their digital content. Its flagship product is Creative Cloud, a subscription service that allows customers to download and install the latest versions of its creative products. This segment serves traditional content creators, Web application developers, and digital media professionals, as well as their management in marketing departments and agencies, companies, and publishers. The company's Digital Marketing segment offers solutions for how digital advertising and marketing are created, managed, executed, measured, and optimized. This segment provides analytics, social marketing, targeting, media optimization, digital experience management, cross-channel campaign management, audience management, and video delivery and monetization solutions to digital marketers, advertisers, publishers, merchandisers, Web analysts, chief marketing officers, chief information officers, and chief revenue officers. Its Print and Publishing segment offers products and services, such as e-learning solutions, technical document publishing, Web application development, and high-end printing, as well as publishing needs of technical and business, and original equipment manufacturers (OEMs) printing businesses. The company markets and licenses its products and services directly to enterprise customers through its sales force, as well as to end-users through app stores and through its Website at adobe.com. It also distributes products and services through a network of distributors, value-added resellers, systems integrators, independent software vendors, retailers, and OEMs. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. The company was founded in 1982 and is headquartered in San Jose, California."
AAP,Advance Auto Parts,"Advance Auto Parts, Inc. provides automotive replacement parts, batteries, accessories, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks. It offers battery accessories, belts and hoses, brakes and brake pads, chassis and climate control parts, clutches and drive shafts, engines and engine parts, exhaust systems and parts, hub assemblies, ignition components and wires, radiators and cooling parts, starters and alternators, and steering and alignment parts. It also offers AC chemicals and accessories, air fresheners, antifreeze and washer fluids, electrical wires and fuses, electronics, hand and specialty tools, lighting products, performance parts, sealants, adhesives and compounds, tire repair accessories, vent shades, mirrors and exterior accessories, washes, waxes and cleaning supplies, wiper blades, floor mats, seat covers, and interior accessories. In addition, it offers air filters, fuel and oil additives, fuel filters, grease and lubricants, motor oils, oil filters, part cleaners and treatments, and transmission fluids for engine maintenance. Further, it offers battery and wiper installation, battery charging, check engine light reading, video clinic, oil and battery recycling, loaner tool program, and electrical system testing services. Additionally, it sells its products through its Website. It serves do-it-for-me and do-it-yourself customers, professional installers, and independently-owned operators. As of December 30, 2017, it operated 5,054 stores under Advance Auto Parts, Autopart International, and Carquest brand names; and 129 branches under the Worldpac brand name in the United States, Puerto Rico, the U.S. Virgin Islands, and Canada. It also served approximately 1,218 independently owned Carquest branded stores in Mexico, the Bahamas, Turks and Caicos, the British Virgin Islands, and the Pacific Islands. The company was founded in 1929 and is based in Roanoke, Virginia."
AMD,Advanced Micro Devices Inc,"Advanced Micro Devices, Inc. operates as a semiconductor company worldwide. It operates in two segments, Computing and Graphics; and Enterprise, Embedded and Semi-Custom. The company's products include x86 microprocessors as an accelerated processing unit (APU), chipsets, discrete and integrated graphics processing units (GPUs), and professional GPUs; and server and embedded processors, and semi-custom System-on-Chip (SoC) products and technology for game consoles. It provides x86 microprocessors for desktop PCs under the AMD Ryzen, AMD Ryzen Pro, Threadripper, AMD A-Series, AMD E-Series, AMD FX CPU, AMD Athlon CPU and APU, AMD Sempron APU and CPU, and AMD Pro A-Series APU brands; microprocessors for notebook and 2-in-1s under the AMD Ryzen processors with Radeon Vega GPUs, AMD A-Series, AMD E-Series, AMD C-Series, AMD Z-Series, AMD FX APU, AMD Phenom, AMD Athlon CPU and APU, AMD Turion, and AMD Sempron APU and CPU brands; and microprocessors for servers under the AMD EPYC and AMD Opteron brands. It also offers chipsets under the AMD brand; discrete GPUs for desktop and notebook PCs under the AMD Radeon and AMD Embedded Radeon brand; professional graphic products under the AMD Radeon Pro and AMD FirePro brands; and customer-specific solutions based on AMD's CPU, GPU, and multi-media technologies. In addition, it provides embedded processor solutions for interactive digital signage, casino gaming, and medical imaging under the AMD Opteron, AMD Athlon, AMD Sempron, AMD Geode, AMD R-Series, G-Series, and AMD Embedded Radeon brands; consumer graphics under the AMD Radeon brand; and semi-custom SoC products. It serves original equipment and design manufacturers, datacenters, system integrators, distributors, and add-in-board manufacturers through its direct sales force, independent distributors, and sales representatives. Advanced Micro Devices, Inc. was founded in 1969 and is headquartered in Santa Clara, California."
